carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0.91,2,2,1,63.4,57.0,6.1,6.18,3.89,3109.1190377847215
0.38,1,4,3,60.3,61.0,4.68,4.71,2.83,302.7816359807889
0.52,4,2,3,61.8,56.0,5.19,5.16,3.2,1090.4290217637645
1.1,4,3,4,61.3,56.0,6.65,6.69,4.09,6944.243982279659
2.28,4,3,1,61.6,57.0,8.44,8.37,5.18,16556.59576613731
2.01,2,0,3,60.8,58.0,8.08,8.16,4.94,13794.082469264154
1.06,4,3,1,62.2,57.0,6.51,6.49,4.04,5030.870032216635
0.7,3,5,2,60.1,58.0,5.81,5.83,3.5,2931.4251302267558
0.73,3,1,3,59.7,59.0,5.94,5.81,3.51,2353.738773241351
0.73,4,2,7,61.6,55.0,5.8,5.82,3.58,4871.610030123342
1.0,1,6,3,64.1,58.0,6.24,6.33,4.03,6046.975174721454
0.33,4,3,5,60.1,57.0,4.48,4.51,2.7,1096.3376753453003
0.54,4,0,5,61.6,57.0,5.25,5.23,3.23,1599.602010785059
0.33,4,6,3,61.9,53.0,4.49,4.46,2.77,1010.8470044422684
0.51,0,6,3,64.4,54.0,5.06,5.03,3.25,1744.799040489272
0.51,4,5,2,62.4,55.0,5.09,5.14,3.19,1516.6527695399272
0.3,1,1,2,63.2,55.0,4.25,4.29,2.7,-1738.2285783366638
2.66,1,2,1,64.3,60.0,8.71,8.65,5.58,19431.411199670238
0.92,3,4,2,61.8,59.0,6.21,6.25,3.85,4467.388619040231
0.3,4,3,7,62.2,55.0,4.3,4.32,2.68,1809.3842922603942
1.0,2,2,2,62.0,54.0,6.43,6.47,4.0,4486.71511267019
0.34,2,4,4,61.1,57.0,4.51,4.54,2.76,678.2651461040764
1.01,2,4,1,62.4,58.0,6.37,6.41,3.99,4654.509934981946
0.87,4,4,4,62.0,55.0,6.1,6.13,3.79,5232.605582999687
1.26,3,6,1,61.9,58.0,6.88,6.81,4.24,7712.204677250679
0.38,3,5,4,60.2,58.0,4.66,4.71,2.82,1471.0344973213487
0.55,4,4,5,62.3,54.0,5.29,5.27,3.29,2985.616590498782
0.65,3,3,2,61.9,58.0,5.54,5.51,3.42,1830.4886570869367
0.41,3,6,5,62.2,58.0,4.8,4.78,2.98,2330.682334616621
0.7,2,1,0,63.2,59.0,5.62,5.59,3.54,399.60947192822914
1.03,2,1,4,62.9,53.0,6.45,6.5,4.07,5422.730085064388
0.34,4,4,5,61.3,56.0,4.52,4.56,2.78,1420.4383894176308
0.73,4,1,6,61.7,53.0,5.8,5.84,3.59,4092.5454816589768
